anio,inversion_miles_soles,cobertura_micromedicion_pct,roturas_redes,atoros_alcantarillado,horas_servicio_promedio,agua_no_facturada_pct
2005,260740,65.83,3468,58991,21.45,41.08
2006,221547,68.01,2724,64175,21.0,38.31
2007,353820,70.07,2321,64054,21.2,36.99
2008,419082,70.27,2256,62318,21.5,37.02
2009,767892,68.77,2449,67137,21.6,38.08
2010,525739,69.23,2712,68128,21.7,37.78
2011,511081,77.27,2890,64412,21.8,34.58
2012,266281,81.55,2797,66715,21.9,30.78
2013,403553,86.91,2679,65747,22.13,28.99
2014,495153,86.9,2754,57197,21.87,29.12
2015,320686,88.46,2414,51236,22.01,29.77
2016,386134,92.24,2905,51629,21.83,27.98
2017,525255,93.96,2628,54610,21.83,25.13
